CustomerID,Recency,Frequency,Monetary,AOV,Predicted_LTV,Segment
12346.0,326,2,0.0,0.0,-0.16135776,Low
12347.0,2,7,4310.0,23.681318681318682,2667.79,Very High
12348.0,75,4,1797.24,57.97548387096774,1570.1986,High
12349.0,19,1,1757.55,24.076027397260273,444.7321,Medium
12350.0,310,1,334.4,19.670588235294115,318.26373,Low
12352.0,36,11,1545.41,16.267473684210525,2556.0977,Very High
12353.0,204,1,89.0,22.25,349.64627,Low
12354.0,232,1,1079.4,18.610344827586207,318.26373,Low
12355.0,214,1,459.4,35.33846153846154,386.09692,Low
12356.0,23,3,2811.43,47.65135593220339,1346.2712,High
12357.0,33,1,6207.67,47.38679389312977,1482.9092,High
12358.0,2,2,1168.06,61.47684210526315,717.80365,Medium
12359.0,8,6,6245.53,24.588700787401574,3066.7068,Very High
12360.0,52,3,2662.06,20.63612403100775,1027.9432,High
12361.0,287,1,189.9,18.990000000000002,318.26373,Low
12362.0,3,13,5154.58,18.812335766423356,3940.7705,Very High
12363.0,110,2,552.0,24.0,568.73663,Medium
12364.0,8,4,1313.1,15.448235294117646,1064.1349,High
12365.0,291,3,320.69,13.94304347826087,631.56085,Medium
12367.0,4,1,168.9,15.354545454545455,375.3181,Low
12370.0,51,4,3545.69,21.231676646706585,1377.9998,High
12371.0,45,2,1887.96,29.96761904761905,862.3474,High
12372.0,72,3,1298.04,24.962307692307693,989.0437,High
12373.0,311,1,364.6,26.042857142857144,325.9553,Low
12374.0,25,1,742.9300000000001,22.513030303030305,500.9712,Medium
12375.0,3,3,455.42,25.301111111111112,971.6583,High
12377.0,315,2,1628.12,21.144415584415583,518.852,Medium
12378.0,130,1,4008.62,18.30420091324201,431.6272,Medium
12379.0,82,3,850.29,20.738780487804878,973.613,High
12380.0,22,5,2720.56,25.910095238095238,1928.5406,Very High
12381.0,5,6,1803.96,19.823736263736265,2044.0912,Very High
12383.0,185,6,1839.31,18.3931,1361.704,High
12384.0,29,3,566.16,18.872,907.89484,High
12386.0,338,2,401.9,40.19,626.2314,Medium
12388.0,16,6,2780.66,27.8066,2253.4314,Very High
12390.0,80,1,549.84,17.1825,418.4769,Medium
12391.0,22,1,460.89,4.6089,253.87549,Low
12393.0,72,4,1582.6000000000001,24.728125000000002,1573.2059,High
12394.0,64,2,1272.48,47.12888888888889,937.9153,High
12395.0,16,15,2998.28,18.857106918238994,4432.9033,Very High
12397.0,36,2,2409.9,19.126190476190477,677.26447,Medium
12398.0,46,1,1635.6599999999999,19.24305882352941,460.251,Medium
12399.0,119,4,1108.65,18.790677966101697,977.69727,High
12401.0,303,1,84.3,16.86,321.74973,Low
12402.0,323,1,225.6,20.509090909090908,331.99738,Low
12403.0,50,2,409.7,68.28333333333333,957.88824,High
12405.0,149,1,1710.39,31.67388888888889,441.47104,Medium
12406.0,22,3,3280.75,30.377314814814813,1061.8345,High
12407.0,50,5,1708.1200000000001,22.183376623376624,1827.2037,Very High
12408.0,33,9,2842.57,25.155486725663717,3519.097,Very High
12409.0,79,7,11056.93,96.99061403508772,7208.434,Very High
12410.0,301,3,681.0799999999999,24.32428571428571,741.5563,Medium
12412.0,75,3,1226.88,20.112786885245903,902.4273,High
12413.0,67,5,694.15,17.353749999999998,1459.8983,High
12414.0,217,3,562.41,31.244999999999997,917.38477,High
12415.0,24,26,123725.45,159.0301413881748,119993.625,Very High
12417.0,3,12,3578.8,18.074747474747475,3191.2727,Very High
12418.0,113,1,668.58,19.664117647058823,437.76016,Medium
12420.0,64,1,600.39,20.70310344827586,450.59882,Medium
12421.0,16,5,806.27,17.527608695652173,1488.7734,High
12422.0,96,3,803.5600000000001,20.604102564102565,1005.4698,High
12423.0,1,9,1849.11,14.67547619047619,2199.6985,Very High
12424.0,163,2,1760.96,58.69866666666667,851.99255,High
